last,rest,selection_year,group_number,number_of_flights,status,military_civilian,gender,military_details,dob,job,missions_flown,cumulative_hours_space_flight
Carpenter,M. Scott,1959,1,1,Former,Military,Male,"Commander, US Navy (Retired)",1925-05-01,,Mercury 7,4
Williams,"Clifton C., Jr.",1963,3,0,Deceased,Military,Male,"Major, US Marine Corps",1932-09-26,,,0
Worden,Alfred M.,1966,5,1,Former,Military,Male,"Colonel, US Air Force",1932-02-07,,Apollo 15,295
Williams,Donald E.,1978,8,2,Former,Military,Male,"Captain, US Navy",1942-02-13,,STS 51-D and STS-34,287
Wilcutt,Terrence W.,1990,13,4,Current,Military,Male,"Colonel, US Marine Corps (Retired)",1949-10-31,Pilot,"STS-68, STS-79, STS-89 and STS-106",1007
Wisoff,Peter J. K.,1990,13,4,Former,Civilian,Male,,1958-08-16,,"STS-57, STS-68, STS-81 and STS-92",1063
Wolf,David A.,1990,13,3,Current,Civilian,Male,,1956-08-23,Mission Specialist,"STS-58, NASA-MIR 6 and STS-112",3432
Whitson,Peggy A.,1996,16,2,Management,Civilian,Female,,1960-02-09,,STS-111/Exp 5/STS-113 and Soyuz TMA-11,9048
Williams,Jeffrey N.,1996,16,3,Current,Military,Male,"Colonel, US Army",1958-01-18,Mission Specialist,"STS-101, Exp 13 and Soyuz TMA-16",8688
Wilson,Stephanie D.,1996,16,3,Current,Civilian,Female,,1966-09-27,Mission Specialist,"STS-121, STS-120 and STS-131",1008
Williams,Sunita L.,1998,17,1,Current,Military,Female,"Commander, US Navy",1965-09-19,Mission Specialist,STS-116,4680
Woodward,"Neil W., III",1998,17,0,Former,Military,Male,"Commander, US Navy",1962-07-26,Mission Specialist,,0
Wilmore,Barry E.,2000,18,1,Current,Military,Male,"Commander, US Navy",1962-12-29,Pilot,STS-129,259
Aunon,Serena M.,2009,20,0,Current,Civilian,Female,,1976-04-09,,,0
Epps,Jeanette J.,2009,20,0,Candidate,Civilian,Female,,1970-11-02,,,0
Fischer,Jack D.,2009,20,0,Candidate,Military,Male,US Air Force,1974-01-23,,,0
Hansen,Jeremy,2009,20,0,Candidate,,Male,,1976-01-27,,,0
Hopkins,Michael S.,2009,20,0,Candidate,Military,Male,2nd Lieutenant US Air Force,1968-12-28,,,0
Kanai,Norishige,2009,20,0,Candidate,Civilian,Male,,1905-05-29,,,0
Lindgren,Kjell N.,2009,20,0,Candidate,Military,Male,US Air Force,1973-01-23,,,0
Onishi,Tayuka,2009,20,0,Candidate,Civilian,Male,,1905-05-28,,,0
Rubins,Kathleen,2009,20,0,Candidate,Civilian,Female,,1978-10-14,,,0
Saint-Jacques,David,2009,20,0,Candidate,Civilian,Male,,1970-01-06,,,0
Tingle,Scott D.,2009,20,0,Candidate,Military,Male,Naval Officer,1965-07-19,,,0
Vande Hei,Mark T.,2009,20,0,Candidate,Military,Male,"2nd Lieutenant, US Army",1966-11-10,,,0
Wiseman,Gregory R.,2009,20,0,Candidate,Civilian,Male,,1975-11-11,,,0
Yui,Kimiya,2009,20,0,Candidate,,Male,,1905-05-23,,,
Cooper,"L. Gordon, Jr.",1959,1,2,Deceased,Military,Male,"Colonel, US Air Force",1927-03-06,,Mercury 9 and Gemini 5,225
Glenn,"John H., Jr.",1959,1,2,Former,Military,Male,Colonel US Marine Corps,1921-07-18,,Mercury 6 and STS-95,217
Grissom,Virgil I.,1959,1,2,Deceased,Military,Male,"Lieutenant Colonel, US Air Force",1926-04-03,,Mercury 4 and Gemini 3,5
Schirra,"Walter M., Jr.",1959,1,3,Deceased,Military,Male,"Captain, US Navy",1923-03-12,,"Mercury 8, Gemini 6 and Apollo 7",295
Shepard,"Alan B., Jr.",1959,1,2,Deceased,Military,Male,"Rear Admiral, US Navy",1923-11-18,,Mercury 3 and Apollo 14,216
Slayton,Donald K.,1959,1,1,Deceased,Civilian,Male,"Major, US Air Force Reserve",1924-03-01,,Apollo-Soyuz Test Project,217
Armstrong,Neil A.,1962,2,2,Former,Civilian,Male,,1930-08-05,,Gemini 8 and Apollo 11,205
Borman,Frank,1962,2,2,Former,Military,Male,"Colonel, US Air Force",1928-03-14,,Gemini 7 and Apollo 8,477
Conrad,"Charles, Jr.",1962,2,4,Deceased,Military,Male,"Captain, US Navy",1930-05-02,,"Gemini 5, Gemini 11, Apollo 12 and Skylab 2",1179
Lovell,"James A., Jr.",1962,2,4,Former,Military,Male,"Captain, US Navy",1928-03-25,,"Gemini 7, Gemini 12, Apollo 8 and Apollo 13",715
McDivitt,James A.,1962,2,2,Former,Military,Male,"Brigadier General, US Air Force",1929-06-10,,Gemini 4 and Apollo 9,338
See,"Elliot M., Jr.",1962,2,0,Deceased,Civilian,Male,,1927-07-23,,,0
Stafford,Thomas P.,1962,2,4,Former,Military,Male,"Lieutenant General, US Air Force",1930-09-17,,"Gemini 6, Gemini 9, Apollo 10 and Apollo-Soyuz Test Project",507
White,"Edward H., II",1962,2,1,Deceased,Military,Male,"Lieutenant Colonel, US Air Force",1930-11-14,,Gemini 4,97
Young,John W.,1962,2,6,Former,Military,Male,"Captain, US Navy (Retired)",1930-09-24,,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 and STS-9",835
Aldrin,Buzz,1963,3,2,Former,Military,Male,"Colonel, US Air Force (Retired)",1930-01-20,,Gemini 12 and Apollo 11,289
Anders,William A.,1963,3,1,Former,Civilian,Male,US Air Force Reserve,1933-10-17,,Apollo 8,147
Bassett,"Charles A., II",1963,3,0,Deceased,Military,Male,"Captain, US Air Force",1931-12-30,,,0
Bean,Alan L.,1963,3,2,Former,Military,Male,"Captain, US Navy (Retired)",1932-03-15,,Apollo 12 and Skylab 3,1671
Cernan,Eugene A.,1963,3,3,Former,Military,Male,"Captain, US Navy (Retired)",1934-03-14,,"Gemini 9, Apollo 10 and Apollo 17",566
Chaffee,Roger B.,1963,3,0,Deceased,Military,Male,"Lieutenant Commander, US Navy",1935-02-15,,,0
Collins,Michael,1963,3,2,Former,Civilian,Male,US Air Force Reserve,1930-10-31,,Gemini 10 and Apollo 11,266
Cunningham,Walter,1963,3,1,Former,Civilian,Male,"Colonel, US Marine Corps Reserve",1932-03-16,,Apollo 7,263
Eisele,Donn F.,1963,3,1,Deceased,Military,Male,"Colonel, US Air Force",1930-05-23,,Apollo 7,260
Freeman,Theodore C.,1963,3,0,Deceased,Military,Male,"Captain, US Air Force",1930-02-18,,,0
Gordon,"Richard F., Jr.",1963,3,2,Former,Military,Male,"Captain, US Navy",1929-10-05,,Gemini 11 and Apollo 12,315
Schweickart,Russell L.,1963,3,1,Former,Civilian,Male,,1935-10-25,,Apollo 9,241
Scott,David R.,1963,3,3,Former,Military,Male,"Colonel, US Air Force",1932-06-06,,"Gemini 8, Apollo 9 and Apollo 15",546
Garriott,Owen K.,1965,4,2,Former,Civilian,Male,,1930-11-22,,Skylab 3 and STS-9,1674
Gibson,Edward G.,1965,4,1,Former,Civilian,Male,,1936-11-08,,Skylab 4,2017
Graveline,Duane E.,1965,4,0,Former,Civilian,Male,,1931-03-02,,,0
Kerwin,Joseph P.,1965,4,1,Former,Military,Male,"Captain, Medical Corps, US Navy",1932-02-19,,Skylab 2,672
Michel,F. Curtis,1965,4,0,Former,Civilian,Male,,1934-06-05,,,0
