fight_id,fight_url,date,game,away_team,away_team_name,home_team,home_team_name,away_player,away_player_name,away_player_got_fm,home_player,home_player_name,home_player_got_fm,fight_period,fight_minutes,fight_seconds,fight_votes,fight_votes_rating_sum,fight_votes_away_win,fight_votes_home_win,fight_votes_draw
111386,http://www.hockeyfights.com/fights/111386,"Apr 07, 2012",http://www.hockeyfights.com/games/137330,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/teams/10,Dallas Stars,http://www.hockeyfights.com/players/587,Barret Jackman,TRUE,http://www.hockeyfights.com/players/13274,Ryan Garbutt,TRUE,2,5,34,42,176,37,4,1
111389,http://www.hockeyfights.com/fights/111389,"Apr 07, 2012",http://www.hockeyfights.com/games/137327,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/9,Columbus Blue Jackets,http://www.hockeyfights.com/players/4999,Matt Martin,TRUE,http://www.hockeyfights.com/players/1833,Derek Dorsett,TRUE,2,12,1,50,102,13,2,35
111388,http://www.hockeyfights.com/fights/111388,"Apr 07, 2012",http://www.hockeyfights.com/games/137327,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/9,Columbus Blue Jackets,http://www.hockeyfights.com/players/1743,Micheal Haley,TRUE,http://www.hockeyfights.com/players/2705,Jared Boll,TRUE,2,9,46,57,272,3,46,8
111387,http://www.hockeyfights.com/fights/111387,"Apr 07, 2012",http://www.hockeyfights.com/games/137327,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/9,Columbus Blue Jackets,http://www.hockeyfights.com/players/4999,Matt Martin,TRUE,http://www.hockeyfights.com/players/1833,Derek Dorsett,TRUE,1,5,2,39,86,16,2,21
111384,http://www.hockeyfights.com/fights/111384,"Apr 07, 2012",http://www.hockeyfights.com/games/137321,http://www.hockeyfights.com/teams/22,Philadelphia Flyers,http://www.hockeyfights.com/teams/24,Pittsburgh Penguins,http://www.hockeyfights.com/players/16507,Harry Zolnierczyk,TRUE,http://www.hockeyfights.com/players/6702,Joe Vitale,TRUE,1,2,22,133,825,4,128,1
111385,http://www.hockeyfights.com/fights/111385,"Apr 07, 2012",http://www.hockeyfights.com/games/137319,http://www.hockeyfights.com/teams/4,Buffalo Sabres,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/players/224,Robyn Regehr,TRUE,http://www.hockeyfights.com/players/299,Shawn Thornton,TRUE,1,12,38,104,528,7,93,4
111362,http://www.hockeyfights.com/fights/111362,"Apr 06, 2012",http://www.hockeyfights.com/games/137318,http://www.hockeyfights.com/teams/23,Arizona Coyotes,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/players/422,Rostislav Klesla,TRUE,http://www.hockeyfights.com/players/2322,Chris Stewart,TRUE,3,16,9,32,75,20,0,12
111361,http://www.hockeyfights.com/fights/111361,"Apr 06, 2012",http://www.hockeyfights.com/games/137318,http://www.hockeyfights.com/teams/23,Arizona Coyotes,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/players/819,Raffi Torres,TRUE,http://www.hockeyfights.com/players/2480,Matt D'Agostini,TRUE,3,14,30,33,93,22,2,9
111356,http://www.hockeyfights.com/fights/111356,"Apr 05, 2012",http://www.hockeyfights.com/games/137317,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/teams/14,Los Angeles Kings,http://www.hockeyfights.com/players/1524,Ryane Clowe,TRUE,http://www.hockeyfights.com/players/7404,Kyle Clifford,TRUE,2,13,34,103,605,100,0,3
111355,http://www.hockeyfights.com/fights/111355,"Apr 05, 2012",http://www.hockeyfights.com/games/137317,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/teams/14,Los Angeles Kings,http://www.hockeyfights.com/players/1524,Ryane Clowe,TRUE,http://www.hockeyfights.com/players/3318,Matt Greene,TRUE,1,9,48,86,361,80,0,6
111354,http://www.hockeyfights.com/fights/111354,"Apr 05, 2012",http://www.hockeyfights.com/games/137317,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/teams/14,Los Angeles Kings,http://www.hockeyfights.com/players/282,Joe Thornton,TRUE,http://www.hockeyfights.com/players/8168,Drew Doughty,TRUE,1,7,18,131,729,123,4,4
111353,http://www.hockeyfights.com/fights/111353,"Apr 05, 2012",http://www.hockeyfights.com/games/137316,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/players/1859,George Parros,TRUE,http://www.hockeyfights.com/players/330,Darcy Hordichuk,TRUE,2,8,8,149,948,60,56,33
111352,http://www.hockeyfights.com/fights/111352,"Apr 05, 2012",http://www.hockeyfights.com/games/137314,http://www.hockeyfights.com/teams/9,Columbus Blue Jackets,http://www.hockeyfights.com/teams/8,Colorado Avalanche,http://www.hockeyfights.com/players/1833,Derek Dorsett,TRUE,http://www.hockeyfights.com/players/1229,Cody McLeod,TRUE,1,2,6,51,214,10,22,19
111340,http://www.hockeyfights.com/fights/111340,"Apr 03, 2012",http://www.hockeyfights.com/games/137292,http://www.hockeyfights.com/teams/24,Pittsburgh Penguins,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/players/3406,James Neal,TRUE,http://www.hockeyfights.com/players/488,Andrew Ference,TRUE,2,18,27,221,1296,151,40,30
111336,http://www.hockeyfights.com/fights/111336,"Apr 03, 2012",http://www.hockeyfights.com/games/137295,http://www.hockeyfights.com/teams/20,New York Rangers,http://www.hockeyfights.com/teams/22,Philadelphia Flyers,http://www.hockeyfights.com/players/437,Mike Rupp,TRUE,http://www.hockeyfights.com/players/362,Jody Shelley,TRUE,1,15,8,183,1202,7,175,1
111335,http://www.hockeyfights.com/fights/111335,"Apr 03, 2012",http://www.hockeyfights.com/games/137295,http://www.hockeyfights.com/teams/20,New York Rangers,http://www.hockeyfights.com/teams/22,Philadelphia Flyers,http://www.hockeyfights.com/players/2257,Brandon Prust,TRUE,http://www.hockeyfights.com/players/7457,Zac Rinaldo,TRUE,1,11,6,138,688,114,5,19
111339,http://www.hockeyfights.com/fights/111339,"Apr 03, 2012",http://www.hockeyfights.com/games/137294,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/18,New Jersey Devils,http://www.hockeyfights.com/players/1743,Micheal Haley,TRUE,http://www.hockeyfights.com/players/802,Cam Janssen,TRUE,1,12,26,135,987,11,62,62
111338,http://www.hockeyfights.com/fights/111338,"Apr 03, 2012",http://www.hockeyfights.com/games/137293,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/4,Buffalo Sabres,http://www.hockeyfights.com/players/5702,Matt Frattin,TRUE,http://www.hockeyfights.com/players/7492,Marcus Foligno,TRUE,1,7,43,81,492,3,78,0
111337,http://www.hockeyfights.com/fights/111337,"Apr 03, 2012",http://www.hockeyfights.com/games/137293,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/4,Buffalo Sabres,http://www.hockeyfights.com/players/3264,Jay Rosehill,TRUE,http://www.hockeyfights.com/players/7637,Brayden McNabb,TRUE,1,4,40,69,329,49,7,13
111328,http://www.hockeyfights.com/fights/111328,"Apr 02, 2012",http://www.hockeyfights.com/games/137291,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/teams/14,Los Angeles Kings,http://www.hockeyfights.com/players/1534,Ben Eager,TRUE,http://www.hockeyfights.com/players/4799,Jordan Nolan,TRUE,1,3,10,56,255,49,4,3
111325,http://www.hockeyfights.com/fights/111325,"Apr 02, 2012",http://www.hockeyfights.com/games/137290,http://www.hockeyfights.com/teams/30,Washington Capitals,http://www.hockeyfights.com/teams/27,Tampa Bay Lightning,http://www.hockeyfights.com/players/753,Jason Chimera,TRUE,http://www.hockeyfights.com/players/817,Ryan Malone,TRUE,2,5,39,74,375,1,72,1
111323,http://www.hockeyfights.com/fights/111323,"Apr 01, 2012",http://www.hockeyfights.com/games/137289,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/4564,Colten Teubert,TRUE,http://www.hockeyfights.com/players/1497,Sheldon Brookbank,TRUE,3,7,6,53,247,4,20,29
111313,http://www.hockeyfights.com/fights/111313,"Apr 01, 2012",http://www.hockeyfights.com/games/137289,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/1772,Cam Barker,TRUE,http://www.hockeyfights.com/players/1664,Ryan Getzlaf,TRUE,2,5,56,68,303,12,19,37
